	coronary artery disease	inflammatory bowel disease	type 1 diabetes mellitus	asthma	epilepsy syndrome	autistic disorder
num_genes	67	262	75	29	13	2
SAS_rr2_50	5	35	9	4	0	0
ASJ_rr2_50	6	20	8	2	0	0
EAS_rr2_50	3	38	10	4	1	0
AMR_rr2_50	4	34	14	4	1	0
FIN_rr2_50	7	27	3	2	0	0
AFR_rr2_50	6	46	14	3	1	0
SAS_rr4_50	34	126	38	13	7	1
ASJ_rr4_50	28	90	24	12	4	0
EAS_rr4_50	30	123	36	11	6	0
AMR_rr4_50	33	121	40	17	5	1
FIN_rr4_50	17	75	15	8	1	0
AFR_rr4_50	29	134	37	14	7	1
SAS_rr2_80	4	28	7	4	0	0
ASJ_rr2_80	6	17	8	2	0	0
EAS_rr2_80	3	33	7	4	1	0
AMR_rr2_80	4	23	11	3	1	0
FIN_rr2_80	6	26	3	2	0	0
AFR_rr2_80	5	31	12	3	1	0
SAS_rr4_80	26	109	33	13	5	1
ASJ_rr4_80	15	43	14	5	0	0
EAS_rr4_80	25	103	28	8	4	0
AMR_rr4_80	20	108	31	11	4	0
FIN_rr4_80	16	70	15	7	0	0
AFR_rr4_80	29	134	37	14	7	1
SAS_rr2_50_percent	0.075	0.134	0.12	0.138	0.0	0.0
ASJ_rr2_50_percent	0.09	0.076	0.107	0.069	0.0	0.0
EAS_rr2_50_percent	0.045	0.145	0.133	0.138	0.077	0.0
AMR_rr2_50_percent	0.06	0.13	0.187	0.138	0.077	0.0
FIN_rr2_50_percent	0.104	0.103	0.04	0.069	0.0	0.0
AFR_rr2_50_percent	0.09	0.176	0.187	0.103	0.077	0.0
SAS_rr4_50_percent	0.507	0.481	0.507	0.448	0.538	0.5
ASJ_rr4_50_percent	0.418	0.344	0.32	0.414	0.308	0.0
EAS_rr4_50_percent	0.448	0.469	0.48	0.379	0.462	0.0
AMR_rr4_50_percent	0.493	0.462	0.533	0.586	0.385	0.5
FIN_rr4_50_percent	0.254	0.286	0.2	0.276	0.077	0.0
AFR_rr4_50_percent	0.433	0.511	0.493	0.483	0.538	0.5
SAS_rr2_80_percent	0.06	0.107	0.093	0.138	0.0	0.0
ASJ_rr2_80_percent	0.09	0.065	0.107	0.069	0.0	0.0
EAS_rr2_80_percent	0.045	0.126	0.093	0.138	0.077	0.0
AMR_rr2_80_percent	0.06	0.088	0.147	0.103	0.077	0.0
FIN_rr2_80_percent	0.09	0.099	0.04	0.069	0.0	0.0
AFR_rr2_80_percent	0.075	0.118	0.16	0.103	0.077	0.0
SAS_rr4_80_percent	0.388	0.416	0.44	0.448	0.385	0.5
ASJ_rr4_80_percent	0.224	0.164	0.187	0.172	0.0	0.0
EAS_rr4_80_percent	0.373	0.393	0.373	0.276	0.308	0.0
AMR_rr4_80_percent	0.299	0.412	0.413	0.379	0.308	0.0
FIN_rr4_80_percent	0.239	0.267	0.2	0.241	0.0	0.0
AFR_rr4_80_percent	0.433	0.511	0.493	0.483	0.538	0.5
