Gene	AC_AFR	AC_AMR	AC_ASJ	AC_EAS	AC_FIN	AC_NFE	AC_OTH	AC_SAS	AN_AFR	AN_AMR	AN_ASJ	AN_EAS	AN_FIN	AN_NFE	AN_OTH	AN_SAS	AF_AFR	AF_AMR	AF_ASJ	AF_EAS	AF_FIN	AF_NFE	AF_OTH	AF_SAS
ENSG00000000419	0	2	1	2	0	14	0	2	15285	33568	9843	17241	22137	111535	5477	30765	0.0	5.95805529075e-05	0.000101595042162	0.000116002552056	0.0	0.000125521136863	0.0	6.50089387291e-05
ENSG00000000457	6	7	0	6	2	28	1	24	15250	33210	9716	17156	22189	110873	5428	30378	0.000393442622951	0.000210779885577	0.0	0.000349731872231	9.01347514534e-05	0.000252541195783	0.000184229918939	0.000790045427612
ENSG00000000460	8	16	1	5	31	68	4	18	15206	33074	9796	17130	22199	110949	5429	30282	0.000526108115218	0.000483763681442	0.000102082482646	0.000291885580852	0.00139645929997	0.000612894212656	0.00073678393811	0.00059441252229
ENSG00000000938	1	0	0	2	9	5	0	9	15295	33568	9837	17243	22273	111457	5480	30754	6.53808434129e-05	0.0	0.0	0.000115989097025	0.000404076684775	4.48603497313e-05	0.0	0.000292644859205
ENSG00000000971	1	2	0	1	1	13	1	2	15284	33513	9829	17208	22275	111119	5461	30762	6.54278984559e-05	5.96783337809e-05	0.0	5.81125058113e-05	4.48933782267e-05	0.00011699169359	0.000183116645303	6.50152785905e-05
ENSG00000001036	6	11	1	5	1	52	1	41	14968	32411	9594	16886	22001	109138	5341	29724	0.00040085515767	0.000339390947518	0.000104231811549	0.000296103280824	4.54524794328e-05	0.000476460994337	0.000187230855645	0.00137935674876
ENSG00000001084	0	2	0	2	3	7	0	3	15245	33548	9830	17179	22244	111019	5464	30697	0.0	5.96160724931e-05	0.0	0.000116421211945	0.000134867829527	6.30522703321e-05	0.0	9.7729419813e-05
ENSG00000001167	1	1	0	1	0	5	0	2	15289	33538	9840	17241	22290	111546	5478	30750	6.54065014062e-05	2.98169240861e-05	0.0	5.80012760281e-05	0.0	4.48245566851e-05	0.0	6.50406504065e-05
ENSG00000001460	20	6	2	102	1	15	1	13	15249	33083	9730	17050	22241	110972	5435	30299	0.00131156141386	0.000181362028837	0.000205549845838	0.00598240469208	4.4962007104e-05	0.000135169231878	0.000183992640294	0.00042905706459
ENSG00000001461	4	5	0	3	2	14	0	5	15013	33470	9789	17191	22153	110167	5448	30645	0.000266435755678	0.000149387511204	0.0	0.00017450991798	9.0281226019e-05	0.000127079797035	0.0	0.000163158753467
ENSG00000001561	1	2	0	1	2	16	1	5	15218	33274	9778	17202	22188	110605	5433	30647	6.5711657248e-05	6.0106990443e-05	0.0	5.81327752587e-05	9.01388137732e-05	0.000144658921387	0.000184060371802	0.00016314810585
ENSG00000001617	0	0	0	0	1	5	0	0	15281	33568	9834	17236	22256	111392	5477	30776	0.0	0.0	0.0	0.0	4.49317038102e-05	4.48865268601e-05	0.0	0.0
