Gene	AC_AFR	AC_AMR	AC_ASJ	AC_EAS	AC_FIN	AC_NFE	AC_OTH	AC_SAS	AN_AFR	AN_AMR	AN_ASJ	AN_EAS	AN_FIN	AN_NFE	AN_OTH	AN_SAS	AF_AFR	AF_AMR	AF_ASJ	AF_EAS	AF_FIN	AF_NFE	AF_OTH	AF_SAS
ENSG00000000419	0	2	1	2	0	14	0	2	15285.0	33571.0	9845.0	17244.0	22138.0	111549.0	5478.0	30768.0	0.0	5.95752286199e-05	0.00010157440325	0.00011598237068	0.0	0.000125505383284	0.0	6.5002600104e-05
ENSG00000000457	6	7	0	6	2	28	1	24	15256.0	33218.0	9716.0	17162.0	22191.0	110902.0	5430.0	30402.0	0.000393287886733	0.000210729122765	0.0	0.00034960960261	9.01266279122e-05	0.000252475158248	0.000184162062615	0.000789421748569
ENSG00000000460	8	16	1	5	31	68	4	18	15215.0	33090.0	9797.0	17135.0	22230.0	111017.0	5434.0	30300.0	0.000525796910943	0.000483529767301	0.000102072062876	0.000291800408521	0.00139451192083	0.000612518803427	0.000736105999264	0.000594059405941
ENSG00000000938	1	0	0	2	9	5	0	9	15296.0	33568.0	9837.0	17246.0	22282.0	111463.0	5481.0	30763.0	6.53765690377e-05	0.0	0.0	0.000115968920329	0.000403913472758	4.48579349201e-05	0.0	0.000292559243247
ENSG00000000971	1	2	0	1	1	13	1	2	15285.0	33515.0	9829.0	17209.0	22276.0	111132.0	5462.0	30764.0	6.54236179261e-05	5.96747724899e-05	0.0	5.81091289442e-05	4.48913629018e-05	0.000116978008134	0.000183083119736	6.50110518788e-05
ENSG00000001036	6	11	1	5	1	52	1	41	14974.0	32422.0	9596.0	16891.0	22003.0	109191.0	5343.0	29765.0	0.000400694537198	0.000339275800382	0.000104210087536	0.000296015629625	4.54483479526e-05	0.000476229725893	0.000187160771102	0.0013774567445
ENSG00000001084	0	2	0	2	3	7	0	3	15245.0	33550.0	9831.0	17182.0	22247.0	111026.0	5464.0	30700.0	0.0	5.96125186289e-05	0.0	0.000116400884647	0.000134849642648	6.3048294994e-05	0.0	9.77198697068e-05
ENSG00000001167	1	1	0	1	0	5	0	2	15291.0	33539.0	9841.0	17242.0	22291.0	111552.0	5479.0	30752.0	6.53979465045e-05	2.98160350637e-05	0.0	5.79979120752e-05	0.0	4.48221457258e-05	0.0	6.50364203954e-05
ENSG00000001460	20	6	2	102	1	15	1	13	15269.0	33089.0	9732.0	17152.0	22243.0	110988.0	5436.0	30312.0	0.0013098434737	0.000181329142615	0.000205507603781	0.00594682835821	4.49579643034e-05	0.000135149745918	0.00018395879323	0.000428873053576
ENSG00000001461	4	5	0	3	2	14	0	5	15018.0	33475.0	9789.0	17195.0	22156.0	110182.0	5449.0	30650.0	0.000266347050206	0.000149365197909	0.0	0.000174469322477	9.02690016248e-05	0.000127062496597	0.0	0.000163132137031
ENSG00000001561	1	2	0	1	2	16	1	5	15220.0	33276.0	9779.0	17204.0	22190.0	110621.0	5434.0	30653.0	6.5703022339e-05	6.01033778098e-05	0.0	5.81260172053e-05	9.01306894998e-05	0.00014463799821	0.000184026499816	0.000163116171337
ENSG00000001617	0	0	0	0	1	5	0	0	15281.0	33568.0	9834.0	17236.0	22257.0	111397.0	5477.0	30777.0	0.0	0.0	0.0	0.0	4.49296850429e-05	4.48845121502e-05	0.0	0.0
ENSG00000001626	48	91	104	8	39	304	13	74	15264.0	33471.0	9812.0	17215.0	22169.0	111152.0	5457.0	30680.0	0.00314465408805	0.00271877147381	0.0105992662046	0.000464711007842	0.00175921331589	0.00273499352238	0.00238226131574	0.00241199478488
ENSG00000001629	1	1	1	0	0	6	2	0	15165.0	33114.0	9766.0	17040.0	22149.0	110540.0	5414.0	30285.0	6.59413122321e-05	3.01987074953e-05	0.000102396067991	0.0	0.0	5.42789940293e-05	0.000369412633912	0.0
ENSG00000001630	9	25	0	12	3	24	1	9	15140.0	33067.0	9713.0	17100.0	22152.0	110389.0	5408.0	30120.0	0.000594451783355	0.000756040765718	0.0	0.000701754385965	0.000135427952329	0.000217412966872	0.000184911242604	0.000298804780876
ENSG00000001631	0	5	0	2	0	11	0	4	15291.0	33564.0	9842.0	17239.0	22249.0	111517.0	5475.0	30773.0	0.0	0.000148969133596	0.0	0.000116016010209	0.0	9.86396692881e-05	0.0	0.000129984076951
ENSG00000002016	30	182	326	370	332	1320	86	1501	15244.0	33479.0	9820.0	17205.0	22082.0	111080.0	5461.0	30727.0	0.00196798740488	0.0054362436154	0.0331975560081	0.0215053763441	0.0150348700299	0.0118833273317	0.0157480314961	0.0488495460019
ENSG00000002330	110	8	1	0	0	28	2	0	14756.0	32538.0	9478.0	16805.0	21130.0	107577.0	5305.0	29974.0	0.00745459474112	0.000245866371627	0.000105507491032	0.0	0.0	0.000260278684105	0.000377002827521	0.0
ENSG00000002549	3	2	2	51	0	20	1	4	15266.0	33356.0	9826.0	17204.0	22276.0	111369.0	5465.0	30626.0	0.000196515131665	5.99592277251e-05	0.000203541624262	0.00296442687747	0.0	0.000179583187422	0.000182982616651	0.000130607980148
ENSG00000002586	0	0	0	4	0	11	1	0	14860.0	33504.0	9781.0	17187.0	22267.0	109261.0	5433.0	30635.0	0.0	0.0	0.0	0.000232734043172	0.0	0.000100676362105	0.000184060371802	0.0
ENSG00000002587	0	5	0	1	0	6	0	1	15272.0	33578.0	9842.0	17241.0	22290.0	111491.0	5480.0	30781.0	0.0	0.000148907022455	0.0	5.80012760281e-05	0.0	5.38160030855e-05	0.0	3.24875735031e-05
ENSG00000002726	6	5	1	11	2	38	2	15	15049.0	33426.0	9707.0	17172.0	21762.0	110179.0	5408.0	30519.0	0.00039869758788	0.000149584156046	0.000103018440301	0.000640577684603	9.19033177098e-05	0.000344893309977	0.000369822485207	0.000491497100167
ENSG00000002745	6	2	0	3	0	7	0	5	15111.0	33311.0	9790.0	17111.0	21954.0	110147.0	5433.0	30589.0	0.000397061743101	6.00402269521e-05	0.0	0.000175325813804	0.0	6.35514358085e-05	0.0	0.000163457452025
ENSG00000002746	0	6	0	1	1	7	0	1	15150.0	33409.0	9750.0	17202.0	22218.0	110531.0	5441.0	30621.0	0.0	0.000179592325421	0.0	5.81327752587e-05	4.50085516248e-05	6.33306493201e-05	0.0	3.26573266712e-05
ENSG00000002822	248	31	0	7	8	78	11	18	15012.0	33385.0	9774.0	17140.0	21977.0	110282.0	5430.0	30558.0	0.0165201172395	0.000928560730867	0.0	0.000408401400233	0.000364016926787	0.000707277706244	0.00202578268877	0.000589043785588
